Filing Date,Docket Number,Regional Entity,Registered Entity,NCR ID (NERC Compliance Registry Identifier),Total Penalty ($) (The total penalty amount represents an aggregate amount for the filing; it does not represent an amount per violation.),NERC Violation ID,Reliability Standard,Req.,"Violation Risk Factor (Lower, Medium, High)","Risk Assessment (Minimal, Moderate, Serious)",Mitigation Completion Date,Notice of No Further Review Issued
9/30/2014,NP14-50-000,WECC,Imperial Irrigation District,NCR05195,40000,WECC2013012956,PRC-023-1,R1,High,Minimal,41766,X
9/30/2014,NP14-50-000,Texas RE,Unidentified Registered Entity,NCRXXXXX,28000,TRE2013012540,CIP-007-1,R5,Medium,Moderate,12/31/2014 (approved completion date),X
9/30/2014,NP14-50-000,WECC,Unidentified Registered Entity,NCRXXXXX,25000,WECC2013012311,CIP-002-3,R1,Medium,Minimal,41522,X
9/30/2014,NP14-50-000,WECC,Unidentified Registered Entity,NCRXXXXX,25000,WECC2012011326,CIP-004-1,R3,Medium,Minimal,41201,X
9/30/2014,NP14-50-000,NPCC,"Essential Power Newington, LLC",NCR00540,20000,NPCC2013011695,PRC-005-1,R2; R2.1; R2.2,High,Moderate,41751,X
9/30/2014,NP14-50-000,WECC,La Paloma Generating Company LLC,NCR05210,12500,WECC2014013511,PRC-005-1,R1; R1.1; R1.2,High,Minimal,41744,X
9/30/2014,NP14-50-000,WECC,La Paloma Generating Company LLC,NCR05210,12500,WECC2014013512,PRC-005-1a,R2; R2.1,High,Minimal,41744,X
9/30/2014,NP14-50-000,SERC,Unidentified Registered Entity,NCRXXXXX,5000,SERC2013012782,CIP-005-3 ,R1; R1.4,Medium,Minimal,41564,X
9/30/2014,NP14-50-000,SERC,Unidentified Registered Entity,NCRXXXXX,5000,SERC2013012783,CIP-005-3 ,R2; R2.2,Medium,Moderate,41596,X
9/30/2014,NP14-50-000,SERC,Unidentified Registered Entity,NCRXXXXX,5000,SERC2013012784,CIP-006-3c ,R1; R1.1,Medium,Minimal,41479,X
9/30/2014,NP14-50-000,SERC,Unidentified Registered Entity,NCRXXXXX,5000,SERC2014013637,CIP-007-3a ,R2; R2.2,Medium,Minimal,41726,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013120,FAC-009-1,R1,Medium,Moderate,41853,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013163,TPL-001-0.1,"R1;
R1.3",Medium,Minimal,41851,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013164,TPL-002-0b,"R1;
R1.3",Medium,Minimal,41851,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013165,TPL-003-0a,"R1;
R1.3",Medium,Minimal,41851,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013166,IRO-005-3.1a,R10,Pending,Moderate,41853,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013167,TOP-004-2,R1,High,Moderate,41853,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013168,TOP-008-1,R2,High,Moderate,41853,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013169,FAC-014-2,"R5;
R5.2;
R5.3",High,Minimal,41853,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013170,TOP-002-2.1b,R11,Medium,Minimal,"8/2/2014 
",X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013171,TOP-007-0,R1,High,Moderate,"8/2/2014 
",X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013172,FAC-010-2.1,"R2;
R2.1",High,Minimal,41764,X
9/30/2014,NP14-50-000,FRCC,"New Smyrna Beach, Utilities Commission of",NCR00052,0,FRCC2013013173,FAC-014-2,R3,Medium,Minimal,41853,X
9/30/2014,NP14-50-000,WECC,El Paso Electric Company,NCR05140,0,WECC2013012984,PRC-005-1,R1; R1.1; R1.2.,High,Minimal,41877,X
9/30/2014,NP14-50-000,SERC,Unidentified Registered Entity,NCRXXXXX,0,SERC2013012977,CIP-005-3a ,R1; R1.6,Lower,Minimal,41698,X
9/30/2014,NP14-50-000,SERC,Unidentified Registered Entity,NCRXXXXX,0,SERC2014013393,CIP-006-3c ,R1; R1.1,Medium,Minimal,41808,X
9/30/2014,NP14-50-000,WECC,Unidentified Registered Entity,NCRXXXXX,0,WECC2013013150,CIP-005-1,R2; R2.2,Medium,Moderate,41816,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010910,CIP-002-1,R2,High,Minimal,41394,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013552,CIP-002-1,R3,High,Moderate,41206,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010911,CIP-002-1,R3,High,Moderate,41206,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013553,CIP-002-1,R4,Lower,Minimal,41487,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010912,CIP-002-1,R4,Lower,Minimal,41487,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013556,CIP-003-1,R1; R1.3,Lower,Minimal,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2013011925,CIP-003-1,R1; R1.3,Lower,Minimal,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2014013690,CIP-003-1,R1; R1.3,Lower,Minimal,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2014013691,CIP-003-1,R1; R1.3,Lower,Minimal,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010079,CIP-003-1,R4,Medium,Moderate,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010086,CIP-003-1,R4,Medium,Moderate,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010093,CIP-003-1,R4,Medium,Moderate,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100889,CIP-003-1,R5,Lower,Moderate,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100896,CIP-003-1,R5,Lower,Moderate,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100903,CIP-003-1,R5,Lower,Moderate,41617,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013554,CIP-003-1,R6,Lower,Moderate,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010302,CIP-003-1,R6,Lower,Moderate,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2013011966,CIP-003-1,R6,Lower,Moderate,41617,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013550,CIP-004-1,R3,Medium,Minimal,41703,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010303,CIP-004-1,R3,Medium,Minimal,41703,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013549,CIP-004-1,R4,Lower,Minimal,41703,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010080,CIP-004-1,R4,Lower,Minimal,41556,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010087,CIP-004-1,R4,Lower,Minimal,41703,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010094,CIP-004-1,R4,Lower,Minimal,41589,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012011364,CIP-004-3a,R3,Medium,Minimal,41673,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2014013316,CIP-004-3a,R3,Medium,Minimal,41669,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013440,CIP-005-1,R1,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010305,CIP-005-1,R1,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010924,CIP-005-1,R1,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2013011967,CIP-005-1,R1,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013551,CIP-005-1,R2,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100890,CIP-005-1,R2,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100897,CIP-005-1,R2,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100904,CIP-005-1,R2,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013548,CIP-005-1,R3,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100891,CIP-005-1,R3,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100898,CIP-005-1,R3,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100905,CIP-005-1,R3,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013541,CIP-005-1,R4,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010297,CIP-005-1,R4,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010311,CIP-005-1,R4,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010314,CIP-005-1,R4,Medium,Moderate,41974,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013534,CIP-005-1,R5,Lower,Minimal,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010298,CIP-005-1,R5,Lower,Minimal,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010310,CIP-005-1,R5,Lower,Minimal,41974,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010315,CIP-005-1,R5,Lower,Minimal,41974,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013535,CIP-006-2,R2; R2.2,Medium,Moderate,41988,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2014013703,CIP-006-2,R2; R2.2,Medium,Moderate,41988,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2014013708,CIP-006-2,R2; R2.2,Medium,Moderate,41988,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2014013709,CIP-006-2,R2; R2.2,Medium,Moderate,41988,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013536,CIP-006-3c,R1,Medium,Moderate,41274,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100892,CIP-006-3c,R1,Medium,Moderate,41182,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100899,CIP-006-3c,R1,Medium,Moderate,41274,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100906,CIP-006-3c,R1,Medium,Moderate,41148,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100893,CIP-006-3c,R6,Lower,Moderate,41182,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100900,CIP-006-3c,R6,Lower,Moderate,41274,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100907,CIP-006-3c,R6,Lower,Moderate,41148,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013546,CIP-007-1,R1,Medium,Minimal,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100894,CIP-007-1,R1,Medium,Minimal,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100901,CIP-007-1,R1,Medium,Minimal,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100908,CIP-007-1,R1,Medium,Minimal,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013545,CIP-007-1,R2,Medium,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100895,CIP-007-1,R2,Medium,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100902,CIP-007-1,R2,Medium,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC201100909,CIP-007-1,R2,Medium,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013544,CIP-007-1,R3,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010081,CIP-007-1,R3,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010088,CIP-007-1,R3,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010095,CIP-007-1,R3,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010082,CIP-007-1,R4,Medium,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010089,CIP-007-1,R4,Medium,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010096,CIP-007-1,R4,Medium,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013537,CIP-007-1,R5,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010083,CIP-007-1,R5,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010090,CIP-007-1,R5,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010097,CIP-007-1,R5,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013543,CIP-007-1,R6,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010084,CIP-007-1,R6,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010091,CIP-007-1,R6,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010098,CIP-007-1,R6,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013542,CIP-007-1,R7,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010921,CIP-007-1,R7,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010925,CIP-007-1,R7,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2013011968,CIP-007-1,R7,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013540,CIP-007-1,R8,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010085,CIP-007-1,R8,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010092,CIP-007-1,R8,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010099,CIP-007-1,R8,Lower,Moderate,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013539,CIP-007-1,R9,Lower,Minimal,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010301,CIP-007-1,R9,Lower,Minimal,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010313,CIP-007-1,R9,Lower,Minimal,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010317,CIP-007-1,R9,Lower,Minimal,7/14/2014 (approved completion date),X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013538,CIP-008-1,R1,Lower,Minimal,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010907,CIP-008-1,R1,Lower,Minimal,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010926,CIP-008-1,R1,Lower,Minimal,41617,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2013011970,CIP-008-1,R1,Lower,Minimal,41617,X
8/27/2014,NP14-48-000,NPCC,Unidentified Registered Entity,NCRXXXXX,625000,NPCC2014013547,CIP-009-1,R1,Medium,Moderate,41589,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010908,CIP-009-1,R1,Medium,Moderate,41589,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2012010927,CIP-009-1,R1,Medium,Moderate,41624,X
8/27/2014,NP14-48-000,RF,Unidentified Registered Entity,NCRXXXXX,625000,RFC2013011971,CIP-009-1,R1,Medium,Moderate,41624,X
8/27/2014,NP14-49-000,WECC,Unidentified Registered Entity,NCRXXXXX,50000,WECC2012009818,CIP-005-1 ,R1,Medium,Moderate,41557,X
8/27/2014,NP14-49-000,WECC,Unidentified Registered Entity,NCRXXXXX,50000,WECC2012010700,CIP-005-1 ,R2,Medium,Minimal,41208,X
8/27/2014,NP14-49-000,WECC,Unidentified Registered Entity,NCRXXXXX,50000,WECC2013011896,CIP-005-3a,R4,Medium,Minimal,41298,X
8/27/2014,NP14-49-000,WECC,Unidentified Registered Entity,NCRXXXXX,50000,WECC2013011897,CIP-005-1,R5,Lower,Minimal,41471,X
8/27/2014,NP14-49-000,WECC,Unidentified Registered Entity,NCRXXXXX,50000,WECC2012010880,CIP-007-1 ,R3,Lower,Minimal,41563,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011292,CIP-003-1,R5; R5.2,Lower,Minimal,41625,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011293,CIP-003-3,R6,Lower,Moderate,41619,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011301,CIP-005-1,R1; R1.5; R1.6,Medium,Moderate,41795,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011302,CIP-005-1,R4; R4.2; R4.3; R4.4,Medium,Minimal,41544,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011300,CIP-006-1,R1; R1.8,Medium,Minimal,41536,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011295,CIP-007-1,R1; R1.1; R1.3,Medium,Moderate,41654,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011296,CIP-007-1,R2,Medium,Minimal,41554,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011297,CIP-007-1,R5; R5.1.2; R5.1.3; R5.2.3; R5.3,Lower,Moderate,41901,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011298,CIP-007-3a,R3; R3.2,Lower,Minimal,41619,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,40000,MRO2012011299,CIP-007-1,R8; R8.3; R8.4,Lower,Minimal,41544,X
8/27/2014,NP14-49-000,WECC,Unidentified Registered Entity,NCRXXXXX,40000,WECC2013012041,CIP-005-3a,R3,Medium,Moderate,41547,X
8/27/2014,NP14-49-000,WECC,Unidentified Registered Entity,NCRXXXXX,40000,WECC2013012103,CIP-005-3a,R5; R5.2,Lower,Minimal,41179,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,30000,MRO2012011035,CIP-005-2 ,R1; R1.5,Medium,Moderate,41338,X
8/27/2014,NP14-49-000,MRO,Unidentified Registered Entity,NCRXXXXX,30000,MRO2012011040,CIP-006-3a,R2,Medium,Minimal,41485,X
8/27/2014,NP14-49-000,SPP RE,"Smoky Hills Wind Project II, LLC",NCR10316,28000,SPP201000201,PRC-005-1,"R2; R2.1, R2.2",High,Minimal,41416,X
8/27/2014,NP14-49-000,WECC,Unidentified Registered Entity,NCRXXXXX,22000,WECC2013013153,CIP-006-3c,R2,Medium,Minimal,41766,X
8/27/2014,NP14-49-000,WECC,Unidentified Registered Entity,NCRXXXXX,22000,WECC2013013248,CIP-005-3a,R2; R2.4,Medium,Moderate,11/19/2014 (approved completion date),X
8/27/2014,NP14-49-000,NPCC,Entergy Nuclear Generation Company,NCR07072,20000,NPCC2013012287,PRC-005-1,R1; R1.1; R1.2,High,Moderate,12/31/2014 (approved completion date),X
8/27/2014,NP14-49-000,NPCC,Entergy Nuclear Generation Company,NCR07072,20000,NPCC2013012288,PRC-005-1,R2; R2.1; R2.2,High,Moderate,12/31/2014 (approved completion date),X
8/27/2014,NP14-49-000,SERC,Old Dominion Electric Cooperative,NCR00859,15000,SERC2013012999,PRC-005-1,R2; R2.1,High,Moderate,41573,X
8/27/2014,NP14-49-000,NPCC,"Milford Power, LLC ",NCR07143,12000,NPCC2013012750,PRC-005-1,R2; 2.1,High,Moderate,41628,X
8/27/2014,NP14-49-000,SERC,Unidentified Registered Entity,NCRXXXXX,10000,SERC2014013388,CIP-007-3a,R5; R5.3.3,Medium,Minimal,41745,X
8/27/2014,NP14-49-000,SERC,Unidentified Registered Entity,NCRXXXXX,10000,"SERC2014013389
",CIP-005-3a,R3; R3.2,Medium,Moderate,41789,X
8/27/2014,NP14-49-000,SERC,Unidentified Registered Entity,NCRXXXXX,10000,SERC2014013390,CIP-007-3a,R6,Medium,Moderate,41789,X
8/27/2014,NP14-49-000,SERC,Unidentified Registered Entity,NCRXXXXX,10000,SERC2014013391,CIP-007-3a,R3,Lower,Moderate,41820,X
8/27/2014,NP14-49-000,MRO,"Minnkota Power Cooperative, Inc. ",NCR01013,0,MRO2012010744,FAC-009-1,R1,Medium,Moderate,41786,X
8/27/2014,NP14-49-000,NPCC,"Brooklyn Navy Yard Cogeneration Partners, L.P.",NCR10237,0,NPCC2013013096,PRC-005-1,R2; R2.1,High,Moderate,12/31/2014 (approved completion date),X
8/27/2014,NP14-49-000,WECC,"Elk Hills Power, LLC",NCR05143,0,WECC2014013887,PRC-005-1,R1; R1.1,High,Minimal,41787,X
8/27/2014,NP14-49-000,WECC,"Elk Hills Power, LLC",NCR05143,0,WECC2014013888,PRC-005-1,R2; R2.1; R2.2,High,Minimal,41787,X
8/7/2014,IN14-7-000,WECC,Imperial Irrigation District,NCR05195,12000000,None Assigned,See FERC Order IN14-7-000,See FERC Order IN14-7-000,See FERC Order IN14-7-000,,,
7/31/2014,NP14-45-000,WECC,Unidentified Registered Entity,NCRXXXXX,180000,WECC2013012390,CIP-004-1,R3,Medium,Moderate,41341,X
7/31/2014,NP14-45-000,WECC,Unidentified Registered Entity,NCRXXXXX,180000,WECC2013012378,CIP-005-1,R1; R1.5,Medium,Moderate,12/19/2014 (approved completion date),X
7/31/2014,NP14-45-000,WECC,Unidentified Registered Entity,NCRXXXXX,180000,WECC2013012379,CIP-005-1,R2; R2.4; R2.5,Medium,Moderate,12/19/2014 (approved completion date),X
7/31/2014,NP14-45-000,WECC,Unidentified Registered Entity,NCRXXXXX,180000,WECC2013012437,CIP-006-1,R1; R1.8,Medium,Minimal,12/19/2014 (approved completion date),X
7/31/2014,NP14-45-000,WECC,Unidentified Registered Entity,NCRXXXXX,180000,WECC2013012381,CIP-007-1,R2,Medium,Moderate,41554,X
7/31/2014,NP14-45-000,WECC,Unidentified Registered Entity,NCRXXXXX,180000,WECC2013011811,CIP-007-1,R5; R5.2.3,Medium,Minimal,12/19/2014 (approved completion date),X
7/31/2014,NP14-45-000,WECC,Unidentified Registered Entity,NCRXXXXX,180000,WECC2013012380,CIP-007-3a,R8,Lower,Minimal,41628,X
